sno.,name,cuisine,course,diet, price 
838,Ratatouille With Fried Eggs .,French,World Breakfast,Eggetarian, $10.00 
839,Lauki Aloo Sabzi . - Bottle Gourd Potato Vegetable Curry,Indian,Lunch,Vegetarian, $15.00 
840,Sweet & Spicy Soy Dipping Sauce . ,Asian,Side Dish,Vegetarian, $5.00 
841,Kerala Style duck curry with Coconut Milk . ,Kerala  .,Lunch,Non Vegeterian, $30.00 
842,Olya Kaju Chi Amti . - Malvani Cashew Nut Curry,Malvani,Main Course,Vegetarian, $10.00 
843,Kashmiri Kulith Ki Dal . - Horse Gram Dal .,Kashmiri,Main Course,Diabetic Friendly, $20.00 
844,Roasted Carrot & Green Pepper Hummus .,Middle Eastern,Side Dish,Vegetarian, $10.00 
845,Goat Cheese Crostini . With Mint Pomegranate,Italian,Appetizer,Vegetarian, $15.00 
846,Cabbage Tomato Sabzi (. In Hindi),Indian,Lunch,Vegetarian, $10.00 
847,Crispy Amla Gawar Phali Sabzi .,Rajasthani,Dinner,Vegetarian, $15.00 
848,Hash Browns With Chives .,Continental,World Breakfast,Eggetarian, $20.00 
849,Moroccan Roast Chicken with Apricots .,African,Dinner,Non Vegetarian, $20.00 
850,Nuvvula Pachadi .,Indian,Side Dish,Vegetarian, $5.00 
851,Peanut Rice With Coconut .,,,, $20.00 
852,Creamy Mustard Chicken .,Continental,Dinner,Non Vegetarian, $10.00 
853,Spicy Vegetarian Thai Noodle Bowl .,Thai,Dinner,Vegetarian, $30.00 
854,Kerala Style Varutharacha Sambar . - Tangy Coconut Sambar .,Kerala  .,Lunch,High Protein Vegetarian, $10.00 
855,Sweet & Spicy Ripe Mango Curry .,Indian,Lunch,Vegetarian, $20.00 
856,Sweet Chili Lime Grilled Chicken .,Continental,Main Course,Non Vegeterian, $10.00 
857,Spinach And Sweet Potato Bombs .,Continental,Appetizer,Vegetarian, $10.00 
858,Mushroom Do Pyaza . ,Indian,Lunch,Vegetarian, $10.00 
859,Tandoori Paneer Tikka Skillet Pizza .,Fusion,Dinner,High Protein Vegetarian, $10.00 
860,Spinach Mushroom Chickpea Curry . ,Indian,Main Course,High Protein Vegetarian, $15.00 
861,Roasted Potatoes With Za'atar .,Mediterranean,Snack,Vegetarian, $25.00 
862,Zunka  . (Spicy Gram Flour),Maharashtrian  .,Dinner,Vegetarian, $10.00 
863,Chicken In Lemon Butter Sauce .,Continental,Main Course,Non Vegeterian, $10.00 
864,Asian Style Tofu in Spicy Orange Sauce .,Asian,Dinner,High Protein Vegetarian, $10.00 
865,Rajasthani Dal Bati Churma . | Dhaba Style .,Rajasthani,Lunch,Vegetarian, $10.00 
866,Tandoori Chicken Crostini .,Italian,Appetizer,Non Vegeterian, $60.00 
867,Gopalkala . - Janmashtami Special),Indian,Lunch,Vegetarian, $10.00 
868,Whole Wheat Roasted Vegetable Pizza Pockets .,Continental,Dinner,Vegetarian, $20.00 
869,Punjabi Kadhi Pakora . - Delicious Punjabi Kadhi,Punjabi,Dinner,Vegetarian, $10.00 
870,Thakkali Gotsu . | Thakkali Curry | Spicy & Tangy Tomato Gravy,South Indian  .,Lunch,Vegetarian, $10.00 
871,Breakfast Hash Browns .,Continental,World Breakfast,Vegetarian, $15.00 
872,Palak Matar . - Spinach And Green Peas Curry,Indian,Lunch,Vegetarian, $20.00 
873,Hunan Style Smacked Cucumber Pickles . ,Chinese,Side Dish,Vegetarian, $5.00 
874,Mango Chia Overnight Oats . | Overnight Oats | Oatmeal,Continental,World Breakfast,Vegetarian, $10.00 
875,Maharashtrian Kulith Shengole . - Spicy Horse Gram Flour Dumplings,Maharashtrian  .,Lunch,Vegetarian, $15.00 
876,Healthy Ragi & Rice Breakfast Porridge .,Indian,World Breakfast,Vegetarian, $15.00 
877,Besan Arbi Roast . - Spicy Colocasia Stir Fry,Indian,World Breakfast,Gluten Free, $20.00 
878,Creamy Mixed Vegetable Risotto .,Italian,Dinner,Vegetarian, $15.00 
879,Stuffed Omelette . With Cheesy Garlic Mushroom & Corn,Continental,World Breakfast,High Protein Vegetarian, $10.00 
880,Raw Banana and Banana Stem Stuffed Paratha .,Indian,Lunch,Diabetic Friendly, $10.00 
881,Chichinda Ki Sabzi . -Uttar Pradesh Style Snake Gourd Stir Fry,Uttar Pradesh,Side Dish,Vegetarian, $10.00 
882,Chinese Egg Drop Soup . (With Vegetarian Option),Chinese,Appetizer,Eggetarian, $10.00 
883,Quick Roasted Vegetable Bread Pizza .,Continental,World Breakfast,Vegetarian, $20.00 
884,Kali Mirch Aloo Bhindi Sabzi - Aloo Bhindi Pepper Fry .,Indian,Lunch,Vegetarian, $10.00 
885,Kalyana Veetu Senai Curry . - South Indian Spicy Roasted Yam,Tamil Nadu,Side Dish,Vegetarian, $30.00 
886,Konkani Style Vaingana Kaap . - Shallow Fried Eggplant With Semolina,Konkan,Side Dish,Vegetarian, $10.00 
887,Thai Coconut Garlic Rice .,Thai,Main Course,Vegetarian, $5.00 
888,Thai Coconut Garlic Rice .,Thai,Main Course,Vegetarian, $5.00 
889,Tamil Nadu Style Ulundhu Kuzhambu . - Black Lentil Curry,South Indian  .,Lunch,High Protein Vegetarian, $20.00 
890,Spinach Ricotta filled Crepes with Pepper Cream Sauce,French,Dinner,High Protein Vegetarian, $20.00 
891,Methi & Pudina Aloo Sabzi .,Indian,Lunch,Vegetarian, $10.00 
892,Gujarati Methi Na Dhebra ., Indian,Snack,Diabetic Friendly, $15.00 
893,Watermelon Bites Arugula Salad .,Continental,Appetizer,Vegetarian, $10.00 
894,Tomato Jam .,Indian,World Breakfast,Vegetarian, $5.00 
895,Gujarati Dal Dhokli .-Sweet & Spicy Tangy Dal Curry with Whole Wheat Strips, Indian,Dinner,High Protein Vegetarian, $10.00 
896,Homemade Spicy Ramen with Tofu .,Asian,Lunch,Vegetarian, $10.00 
897,Potato & Basil Frittata .,Italian,World Breakfast,Eggetarian, $10.00 
898, Indian Bhindi Doi Posto ., Indian  .,Side Dish,Vegetarian, $5.00 
899,Zoodles Tossed In Cashew Cilantro Pesto . (Vegan),Italian,Dinner,Vegan, $15.00 
900,Milagu Kozhambu .,Chettinad,Lunch,Vegetarian, $15.00 
901,Rice With Quinoa .- Pressure Cooker Method,Indian,Lunch,Vegetarian, $10.00 
902,Khoresht Fesenjan . - Persian Vegetarian Pomegranate Walnut Stew,Middle Eastern,Side Dish,Vegetarian, $20.00 
903,Asparagus Guacamole .,Mexican,Side Dish,Vegetarian, $5.00 
904,Stuffed Makai Paratha . (Corn & Coriander Stuffed Flat Bread),Indian,Dinner,Diabetic Friendly, $20.00 
905,Kashmiri Style Gaad T Tamatar . - Fish Curry,Kashmiri,Dinner,Non Vegeterian, $10.00 
906,Spinach & Garlic Potato Patties .,Continental,Appetizer,Vegetarian, $10.00 
907,Bharwa Baingan and Onion Vegetable . - Daily Food with Figaro Olive Oil,Indian,Lunch,Vegetarian, $15.00 
908,Murungai Keerai Kollu Kuzhambu - Drumstick Leaves Horse Gram Curry,Chettinad,Lunch,Vegetarian, $10.00 
909,Finger Millet Crepe . with Fruits,French,Dessert,Eggetarian, $20.00 
910,Spicy Mexican Layered Chilli Rice . ,Mexican,Main Course,Vegetarian, $740.00 
911,Orange Rasam .,South Indian  .,Lunch,Vegetarian, $10.00 
912,American Chop Suey . With Sweet and Sour Vegetables | Using Millet Noodles,Indo Chinese,Dinner,Vegetarian, $30.00 
913,Caprese Salad Salad .,Italian,Appetizer,Vegetarian, $20.00 
914,Quick Beetroot Pulao .,Indian,Lunch,Vegetarian, $10.00 
915,Whole Wheat Muesli Pancake with Spirulina .,Continental,World Breakfast,High Protein Vegetarian, $10.00 
916,Kadali Bhanda O Chingudi Tarkari . (Odia Style Banana Blossom & Prawn Curry),Oriya  .,Side Dish,Non Vegeterian, $40.00 
917,Spring Onion & Roasted Garlic Brown Rice . ,Continental,Main Course,Vegetarian, $30.00 
918,Cauliflower In Coconut Milk Curry .,Indian,Side Dish,Vegetarian, $25.00 
919,Radish Leaves Pachadi .,South Indian  .,Side Dish,Diabetic Friendly, $20.00 
920,Soya Chunks Masala in Coconut Milk .,South Indian  .,Dinner,High Protein Vegetarian, $10.00 
921,Beetroot Rosti .,European,Brunch,Vegetarian, $10.00 
922, Indian Style Green Chilli Chicken ., Indian,Dinner,Non Vegetarian, $60.00 
923,Bharwa Bhindi And Onion Sabzi .,Rajasthani,Lunch,Vegetarian, $10.00 
924,Thenthuk Soup . - Tibetan Style Noodle Soup,Asian,Appetizer,Vegetarian, $10.00 
925,Beerakaya Tomato Koora . ( Indian Style Ridge Gourd Curry), Indian,Dinner,Vegetarian, $10.00 
926,Jharkhand Dal Peethi .,Bihari,Lunch,Vegetarian, $20.00 
927,Pumpkin Erissery . - Kerala Pumpkin Coconut Curry ,Kerala  .,Lunch,Vegetarian, $10.00 
928,Homemade Whole Wheat Pizza Dough .,Italian,Main Course,Vegetarian, $20.00 
929,Broccoli Paratha .,Indian,Lunch,Vegetarian, $30.00 
930,Nadan Kozhi . | Kerala Chicken Curry | Nadan Chicken Curry ,Kerala  .,Dinner,Non Vegetarian, $10.00 
931,Beetroot Tambuli .,Indian,Side Dish,Vegetarian, $20.00 
932,Rice Sizzler With Tomato Coulis .,Continental,Dinner,Vegetarian, $10.00 
933,Khatti Meethi Palak Khichdi .,Indian,Dinner,Vegetarian, $10.00 
934,Chettinad Pakora Curry .,Chettinad,Side Dish,Vegetarian, $20.00 
935,Sundried Tomatoes And Shiitake Mushroom Quiche .,Continental,Main Course,Vegetarian, $20.00 
936,Savory Shrimps On Skillet .,Indian,Appetizer,Non Vegeterian, $20.00 
937,Butter Garlic Naan . - Garlic Flavoured Flatbread,Indian,Lunch,Vegetarian, $240.00 
938,Microwaved Egg-Omelette-In-A-Mug .,Continental,World Breakfast,Eggetarian, $10.00 
939,Palak Paratha .-Spiced Spinach Flatbread,Indian,North Indian Breakfast,Diabetic Friendly, $20.00 
940,Spiced Carrot And Onion Soup .,Continental,Appetizer,Vegetarian, $15.00 
941,Besan Bread Toast . On Tawa - Vegetarian French Toast,Indian,North Indian Breakfast,Vegetarian, $10.00 
942,Potato Sagu . for Rava Idli,South Indian  .,South Indian Breakfast,Vegetarian, $20.00 
943,Sour Cream Onion Dip .,Continental,Side Dish,Vegetarian, $10.00 
944,Mumbai Style Tawa Pulao . With Moong Sprouts,Maharashtrian  .,Lunch,Vegetarian, $25.00 
945,Muttai Podimas . - Chettinad Egg Scramble,South Indian  .,Lunch,Eggetarian, $10.00 
946,Mexican Style Broccoli Bell Pepper Cheese Quesadilla .,Mexican,Lunch,Vegetarian, $10.00 
947, Indian Style Bassaru . - Dill flavored Coconut Rasam, Indian,Lunch,Vegetarian, $10.00 
948,Mutton Boil .,Indian,Dinner,Non Vegeterian, $10.00 
949,Spinach & Corn Lasagna .,Italian,Dinner,Vegetarian, $15.00 
950,Methi And Palak Paratha .,Indian,North Indian Breakfast,High Protein Vegetarian, $10.00 
951,Paruppu Urundai Rasam . - Dal Dumpling Rasam,South Indian  .,Lunch,High Protein Vegetarian, $30.00 
952,Indo Chinese Crispy Chicken Chilli .,Fusion,Appetizer,Non Vegetarian, $10.00 
953,Olive & Tofu In Harissa Curry . ,Continental,Main Course,High Protein Vegetarian, $10.00 
954,Pineapple Carpaccio . - Spiced Pineapple Salad with Ginger & Mint,Continental,Dinner,Vegetarian, $190.00 
955,Garlic Naan Without Yeast .,Indian,Dinner,Vegetarian, $40.00 
956,Mushroom Thoran . - Kerala Style Mushroom Sabzi,Kerala  .,Lunch,Vegetarian, $10.00 
957,Prawn Ghee Roast .,Mangalorean,Side Dish,Non Vegeterian, $10.00 
958,Red Chilli and Tomato Pachadi .,South Indian  .,Side Dish,Vegetarian, $5.00 
959,Masala French Toast .,Fusion,World Breakfast,Eggetarian, $10.00 
960,Masala French Toast .,Fusion,World Breakfast,Eggetarian, $10.00 
961,Kashmiri Style Dum Oluv . - Dum Aloo .,Kashmiri,Lunch,Vegetarian, $5.00 
962,Gajar Pulao . - Spiced Carrot Rice,Indian,Lunch,Vegetarian, $15.00 
963,Strawberry Salad .,Continental,Dinner,Vegetarian, $10.00 
964,Spiced Onion Pulao . - Pyaz Pulao .,Indian,Main Course,Vegetarian, $15.00 
965,Kumaoni Style Spinach and Fenugreek Kapa .,Uttarakhand-North Kumaon,Lunch,Vegetarian, $10.00 
966,Vegetarian Thai Green Curry With Tofu .,Thai,Lunch,Vegetarian, $10.00 
967,Whole Wheat Lachha Paratha .-Multilayered Layered Indian Flat Bread,Indian,Dinner,Diabetic Friendly, $30.00 
968,Creamy Kulfi Kebab . With Tandoori Mayo .,Indian,Appetizer,, $30.00 
969,Jeera Hing Aloo . - No Onion No Garlic .,Indian,Lunch,Vegetarian, $10.00 
970,Kerala Special Vegetable Stew .,Kerala  .,Lunch,Vegetarian, $15.00 
971,Quick Bread Pizza .,Fusion,Snack,Vegetarian, $20.00 
972,Focaccia With Cherry Tomatoes & Caramelized Onion .,Italian,Side Dish,Vegetarian, $120.00 
973,Vegetable Handi Biryani .,Indian,Lunch,Vegetarian, $20.00 
974,Ambul Polos Curry - Sri Lankan Jack Fruit Curry . With Pol Sambol,,,, $10.00 
975,Paneer Biryani .,Indian,Lunch,High Protein Vegetarian, $10.00 
976,Chocolate Buckwheat Pancake Skewers .,Continental,World Breakfast,Vegetarian, $10.00 
977,Khatte Chole . - A Delicious North Indian Chana Masala,Indian,Lunch,Vegetarian, $60.00 
978,Cabbage Poricha Kootu . (Red Cabbage) - South Indian Cabbage Dal,Tamil Nadu,Lunch,Vegetarian, $15.00 
979,Mexican Sizzler .,Mexican,Lunch,Vegetarian, $15.00 
980,Foxtail Millet Podi Dosa .,South Indian  .,South Indian Breakfast,Diabetic Friendly, $520.00 
981,Chettinad Style Prawn Biryani .,Chettinad,Lunch,Non Vegeterian, $30.00 
982,Sweet Chili & Orange Chicken .,Continental,Dinner,Non Vegetarian, $10.00 
983,Patra Ni Machi . - Fish Cooked In Banana Leaf,Parsi  .,Lunch,Non Vegeterian, $15.00 
984,Mixed Vegetable Pulao .,Indian,Dinner,Vegetarian, $20.00 
985,Spaghetti Pasta in Basil Pesto Using Archana's Kitchen 100% Durum Wheat Spaghetti Pasta,Italian,Dinner,Vegetarian, $20.00 
986,Herbed Baby Potatoes .,Continental,Appetizer,Vegetarian, $15.00 
987,Carrot and Cucumber Thalipeeth .,Maharashtrian  .,North Indian Breakfast,No Onion No Garlic (Sattvic), $10.00 
988,Mexican Omelette . with Avocado Salsa ,Mexican,World Breakfast,Eggetarian, $10.00 
989,Goan Chicken Vindaloo .,Goan  .,Dinner,Non Vegeterian, $10.00 
990,Savory French Toast . With Creamy Achari Mushroom,Continental,World Breakfast,Eggetarian, $10.00 
991,Dangar Pachadi With Grated Carrots . (Urad Dal Raita),Indian,Side Dish,Vegetarian, $10.00 
992,Chocolate Pancakes With Banana .,Continental,World Breakfast,Vegetarian, $5.00 
993, Indian Style Vegetarian Biryani with Soya Chunks . , Indian,Lunch,Vegetarian, $30.00 
994,Menthya Jolada Mudde . - Methi & Jowar Balls .,North  Indian,Main Course,Diabetic Friendly, $15.00 
995,Bhapa Ilish . (Steamed Hilsa), Indian  .,Dinner,Non Vegetarian, $10.00 
996,Moroccan Stuffed Roasted Eggplant . ,Continental,Main Course,Vegetarian, $10.00 
997,Lebanese Spinach Triangle Pies .,Middle Eastern,Snack,Vegetarian, $15.00 
998,Chana Methi Dal . - Fenugreek & Split Bengal Gram Curry,Indian,Lunch,High Protein Vegetarian, $15.00 
999,Spicy Kiwifruit Salsa & Feta Toasties .,Continental,Snack,Vegetarian, $10.00 
1000,Bajri Ki Roti .,Indian,Dinner,Diabetic Friendly, $15.00 
1001,Jaipuri Aloo Pyaz Ki Sabzi . Using Preethi Electric Pressure Cooker,Rajasthani,Lunch,Vegetarian, $10.00 
1002,Masala Wali Turmeric Sabzi . - Ridge Gourd Masala Curry,Indian,Lunch,Vegetarian, $20.00 
1003,Spicy Thai Pasta . With Roasted Vegetables,Fusion,Appetizer,Vegetarian, $10.00 
1004,Spicy Baby Potatoes .,Indian,Lunch,Vegetarian, $10.00 
1005,Vietnamese Style Vegetarian Spring Rolls . With Peanut Dipping Sauce,Vietnamese,Appetizer,Vegetarian, $25.00 
1006,Tri Color Rotini Spirali Pasta . Tossed in Creamy Basil Sauce,Italian,Dinner,Vegetarian, $20.00 
1007,Mangalore Style Nurge Gashie .-Spicy Drumstick Curry,Mangalorean,Lunch,Vegetarian, $10.00 
1008,Meat Masala Stuffed Bharwa Baingan .,Indian,Lunch,Vegetarian, $10.00 
1009,Mexican Style Fresh Rajma Bean & Raw Mango Salad .,Mexican,Appetizer,Vegetarian, $10.00 
1010,Potato Spinach Roulade . With Parmesan Cheese & Herbed Butter Sauce,Continental,Main Course,Vegetarian, $10.00 
1011,Amritsari Fish Gravy .,Indian,Dinner,Non Vegeterian, $20.00 
1012,Perfect Christmas Roast Potatoes .,European,Dinner,Vegetarian, $10.00 
1013,Dhaba Style Spicy Ghee Rice . Made From Whole Spices,Indian,Main Course,Vegetarian, $5.00 
1014,Roasted Chicken Curry . In Spinach Parmesan Sauce,Continental,Lunch,Non Vegeterian, $10.00 
1015,Mamsaam Chops . (Lamb Chops in Black Pepper Gravy),Indian,Dinner,Non Vegeterian, $10.00 
1016,Spirulina and Mint Basil Pesto Pasta .,Italian,Lunch,Vegetarian, $20.00 
1017,Dahi Methi Puri . - Fenugreek Leaves Puri With Yogurt,Indian,Main Course,Vegetarian, $15.00 
1018,"Chicken Sausages, Baked Beans and Stir Fried Broccoli .",Continental,World Breakfast,Non Vegeterian, $10.00 
1019,Dhaba Style Green Moong Dal Tadka .,Indian,Lunch,High Protein Vegetarian, $10.00 
1020,Chilke Wali Mung Dal Curry .,Indian,Dinner,High Protein Vegetarian, $10.00 
1021,Apple Pancake Mess .,Continental,World Breakfast,Vegetarian, $15.00 
1022,Breakfast Enchiladas With Mushroom Sauce .,Mexican,World Breakfast,Vegetarian, $10.00 
1023,Amritsari Murgh Makhani .- Chicken Makhani .,Indian,Dinner,Non Vegeterian, $10.00 
1024,Tamil Nadu Style Coconut Chutney . - For Idli And Dosa,South Indian  .,Side Dish,Vegetarian, $10.00 
1025,Oven Baked Sweet Potato Fries .,Continental,Snack,Vegetarian, $10.00 
1026,Maharashtrian Style Patichya Kandyachi Zunka . -Spring Onions and Besan Sabzi,Maharashtrian  .,Side Dish,Vegetarian, $5.00 
1027, Indian Style Chepa Vepudu . -  Indian Fish Fry ., Indian,Side Dish,Non Vegetarian, $10.00 
1028,Lemon Poppy Seeds Pancakes .,Continental,World Breakfast,Eggetarian, $20.00 
1029,Tuna Rasam Bhaji . (Tuna Sabzi Flavoured With Rasam Powder),Fusion,Side Dish,Non Vegetarian, $15.00 
1030,Anhui Style Bean Pancake with Kimchi . ,Chinese,World Breakfast,High Protein Vegetarian, $500.00 
1031,Gujarati Khatta Mag - Green Moong in Buttermilk Curry, Indian,Side Dish,No Onion No Garlic (Sattvic), $20.00 
1032,Khatti Meethi Tindora Sabzi . - Gujarati Tindora Nu Shak,Indian,Lunch,Vegetarian, $10.00 
1033,Vegan Chickpea Omelette . (Spiced Chickpea Flour Pancakes),Indian,North Indian Breakfast,High Protein Vegetarian, $20.00 
1034,Spinach and Basil Pasta Sauce . ,Italian,,Vegetarian, $5.00 
1035,Korean Stew . With Tofu & Vegetables,Korean,Dinner,Vegetarian, $20.00 
1036,Aamras Ki Kadhi . - Mango Kadhi ., Indian,Dinner,Vegetarian, $10.00 
1037,Peri Peri Roasted Potato Wedges .        ,Continental,Appetizer,Vegetarian, $20.00 
1038,Sindhi Pakwan . - Crisp Delicious Puri,Sindhi,North Indian Breakfast,Vegetarian, $20.00 
1039,Calamari Roast . (Kerala Style Squid),Kerala  .,Side Dish,Non Vegeterian, $15.00 
1040,Whole Wheat Crepe With Eggs And Roasted Peppers .,Continental,World Breakfast,Eggetarian, $10.00 
1041,Roasted Vegetable Pasta In Creamy White Sauce,Italian,Dinner,Vegetarian, $20.00 
1042,Paneer Malai Makhani Biryani .,Indian,Dinner,High Protein Vegetarian, $30.00 
1043,Paneer Shashlik Sizzler .,Continental,Main Course,Vegetarian, $30.00 
1044,Tomato Basil Chicken Curry . ,Continental,One Pot Dish,Non Vegeterian, $5.00 
1045,Aloo Bhey Ki Sabzi . (Potato Lotus Stem Curry),Indian,Lunch,Vegetarian, $15.00 
1046,Paneer In Coconut Gravy .,Indian,Dinner,Vegetarian, $30.00 
1047,Mulakootal . (Vegetables In Coconut Gravy),South Indian  .,Lunch,Vegetarian, $25.00 
1048,KFC Style Crispy Chicken Popcorn .,American,Appetizer,Non Vegeterian, $20.00 
1049,Tomato Soup .,Middle Eastern,Appetizer,Vegetarian, $10.00 
1050,Conchiglie Pasta With Broccoli .,Italian,Lunch,Vegetarian, $5.00 
1051,Chicken Keema Biryani .,Indian,Dinner,Non Vegetarian, $20.00 
1052,Beetroot Salad . with Mixed Greens & Feta Cheese,Continental,Appetizer,Vegetarian, $10.00 
1053,Manipuri Style Tan Ngang . - Refined Flour/Maida Indian Puri .,North East India  .,Lunch,Vegetarian, $10.00 
1054,Thai Style Kai Jeow Moo Sab . - Omelette with minced Chicken,Thai,World Breakfast,Non Vegeterian, $5.00 
1055,Shandong Style Scallion Pancakes .,Chinese,Side Dish,Vegetarian, $10.00 
1056,Oil Free Gujarati Undhiyu . - No Onion No Garlic, Indian,Side Dish,No Onion No Garlic (Sattvic), $20.00 
1057,Oriya Special Dalma . - Lentils Cooked With Vegetables & Raw Papaya,Oriya  .,Lunch,High Protein Vegetarian, $33.00 
1058,Sriracha Hummus . - Sriracha Flavoured Middle Eastern Dip ,Middle Eastern,Side Dish,Vegetarian, $500.00 
1059,Methi Masoor Dal . With Whole Masoor,Indian,Lunch,High Protein Vegetarian, $10.00 
1060,Goruchikkudu Kaya With Peanut Podi . - Cluster Beans With Peanut , Indian,Lunch,Vegetarian, $15.00 
1061,Italian Arancini Rice Balls . With Delicious Pasta Dipping Sauce,Italian,Dinner,Vegetarian, $10.00 
1062,Haldi Ki Sabzi . (Fresh Turmeric Root Vegetable),Rajasthani,Side Dish,Vegetarian, $25.00 
1063,Himachal Style Panchkuti Khichdi .,Himachal,North Indian Breakfast,Vegetarian, $30.00 
1064,Zucchini Boats With Chickpeas In Tomato Hummus .,Mediterranean,Appetizer,Vegetarian, $10.00 
1065,Tomato Chole .,Indian,Lunch,High Protein Vegetarian, $15.00 
1066,Chilli Paneer . -Indo Chinese,Indian,Appetizer,High Protein Vegetarian, $10.00 
1067,Paneer Stuffed Mushroom Masala . ,Indian,Main Course,Vegetarian, $20.00 
1068,Smoked Tofu And Grilled Vegetable Salad .,Continental,Dinner,Gluten Free, $15.00 
1069,Spicy Cabbage Rice . (South Indian Style Mutta Kose Sadham .),Indian,Lunch,Vegetarian, $20.00 
1070,Delicious Skillet Roasted Fondant Potatoes .,French,Appetizer,Vegetarian, $-   
1071,Cabbage Besan Fry .,Indian,Dinner,Vegetarian, $10.00 
1072,Simple Mutton Curry With Coconut .,South Indian  .,Dinner,Non Vegeterian, $30.00 
1073,Lauki Wadi Tarkari . -  Indian Style Moong Dal Dumplings & Bottle Gourd Sabzi, Indian  .,Side Dish,High Protein Vegetarian, $10.00 
1074,Menemen . - Turkish Style Egg Scramble With Bell Peppers,Middle Eastern,World Breakfast,Eggetarian, $10.00 
1075,Chilled Spinach And Cucumber Soup .,Continental,Dinner,Vegetarian, $20.00 
1076,Savory Oatmeal Bowl with Cabbage and Green Peas Stir Fry .,,World Breakfast,Vegetarian, $10.00 
1077,Hing Pani Puri .-Asafoetida Pani Puri,Indian,Appetizer,Vegetarian, $15.00 
1078,Paleo Breakfast Casserole . In A Mug,Continental,World Breakfast,Eggetarian, $20.00 
1079,No Churn Strawberry Ice Cream .,Continental,Dessert,Vegetarian, $360.00 
1080,Konkani Style Mooga Ghushi .-Sprouted Whole Green Gram In Tangy Coconut Gravy,Konkan,Lunch,Vegetarian, $10.00 
1081,Spicy Minced Chicken Keema Balls Curry .,Indian,Dinner,Non Vegeterian, $10.00 
1082,Mac and Cheese On Crostini .,Italian,Appetizer,Vegetarian, $10.00 
1083,Homemade Butter Naan . - Soft Yogurt Bread,Indian,Dinner,Vegetarian, $60.00 
1084,Kerala Style Avial . - Onam Sadya .,Kerala  .,Lunch,Vegetarian, $30.00 
1085,Broccoli Egg Bhurji .,Indian,World Breakfast,Eggetarian, $10.00 
1086,Rajasthani Kachri Phali Sabzi . - Wild Cucumber And Beans Sabzi,Rajasthani,Side Dish,Vegetarian, $10.00 
1087,The Homemade Hard Taco Shells .,Mexican,Main Course,Vegetarian, $15.00 
1088,Zarda Pulav . (Rice Flavoured With Nuts And Saffron),Indian,Dessert,Vegetarian, $30.00 
1089,Roasted Mushroom Zucchini Salad . with Goat Cheese,Continental,Dinner,Vegetarian, $10.00 
1090,Doddapatre Soppina Chitranna . (Spiced Indian Thyme Rice),South Indian  .,Lunch,Vegetarian, $20.00 
1091,Usal Pav . -A Delicious Mumbai Street Food,Maharashtrian  .,Snack,Vegetarian, $20.00 
1092,Muga Ambat .,Coastal  Indian,Lunch,High Protein Vegetarian, $10.00 
1093,Rosemary Chicken Rice . With Spicy Tomato Garlic Sauce ,Continental,Main Course,Non Vegeterian, $15.00 
1094,Grilled Aubergines with Tzatziki Sauce .,Mediterranean,Appetizer,Vegetarian, $20.00 
1095,Maize Daliya Khichri .,Indian,Dinner,Vegetarian, $10.00 
1096,Cheesy Garlic Broccoli Nuggets .,Indian,Snack,Eggetarian, $20.00 
1097,Thouthe Kodel . (Mangalore Southekayi Curry),Mangalorean,Side Dish,Vegetarian, $25.00 
1098,Creamy Dal Makhani .,Indian,Lunch,High Protein Vegetarian, $10.00 
1099,Tomato and Sunflower Seed Dip .,Mexican,Appetizer,Vegetarian, $5.00 
1100,Sweet and Spicy Szechuan Style Vegetables In Ginger Garlic Sauce ,Indo Chinese,Lunch,Vegetarian, $10.00 
1101,Chicken Manchurian Dry . ,Chinese,Appetizer,Non Vegetarian, $10.00 
1102,Soya Keema Aloo Paratha . ,Indian,Indian Breakfast,High Protein Vegetarian, $15.00 
1103,Sprouted Kollu Sambar . - Horse Gram Sambar With Vegetables,South Indian  .,Lunch,Diabetic Friendly, $10.00 
1104,Sprouted Kollu Sambar . - Horse Gram Sambar With Vegetables,South Indian  .,Lunch,Diabetic Friendly, $10.00 
1105,Chicken Chilli Cheese Quesadillas .,Mexican,Lunch,Non Vegeterian, $10.00 
1106,Kerala Cherupayar Curry . (Green Moong and Yellow Moong Dal .),Kerala  .,Lunch,High Protein Vegetarian, $60.00 
1107,Hearty Vegetable Tortilla Soup .,Mexican,Side Dish,High Protein Vegetarian, $20.00 
1108,Onion Rava Bhakri . (Goan Kanyachi Bhakri),Goan  .,Lunch,Vegetarian, $15.00 
1109,Saunf Wale Aloo Baingan . - Fennel Spiced Potato And Eggplant,Indian,Lunch,Vegetarian, $10.00 
1110,Roasted Tomato And Pumpkin Soup .,Italian,Appetizer,Vegetarian, $10.00 
1111,Chettinad Vegetable Pulao .,Chettinad,Dinner,Vegetarian, $15.00 
1112,Baked Eggplant Stuffed with Red Lentil Hummus .,Middle Eastern,Appetizer,Vegetarian, $20.00 
1113,Warqi Paratha .,Indian,Lunch,Vegetarian, $120.00 
1114,Lebanese Fattoush Salad .,Middle Eastern,Appetizer,Vegetarian, $10.00 
1115,Beetroot Stew with Coconut Milk . (With a South Indian Flavor),South Indian  .,Side Dish,Vegetarian, $20.00 
1116,Twin In One Bread Loaf .,Continental,Snack,Vegetarian, $20.00 
1117,Potato Stuffed Dal Dhokli .,Indian,Lunch,Vegetarian, $25.00 
