sno.,name,cuisine,course,diet, price 
60,Cauliflower Curry With Bell Peppers And Carrots In Spiced Milk Gravy,Indian,Lunch,Vegetarian, $30.00 
61,Punjabi Rajma Masala . - Rajma Chawal/Spiced Red Kidney Beans Curry,Indian,Main Course,Vegetarian, $15.00 
62,Sambal Spiced Veggie Mee Goreng .,Asian,Snack,Vegetarian, $40.00 
63,Himachali Pahari Auriya Kaddu . - Himachali Tangy Pumpkin Sabzi,Himachal,Lunch,Vegetarian, $10.00 
64,Strawberry & Chocolate Rolls . With Vanilla Glaze,Continental,Snack,Eggetarian, $110.00 
65, Indian Style Tomato Cauliflower Koora ., Indian,Lunch,Vegetarian, $10.00 
66,Authentic Baba Ganoush .: A Healthy and Delicious Middle Eastern Dip,Mediterranean,Side Dish,Vegetarian, $10.00 
67,Tzatziki .: Refreshing Greek Yogurt Dip for Healthy and Flavorful Meals,Mediterranean,Side Dish,Vegetarian, $5.00 
68,Fresh and Healthy Tabbouleh .: A High-Protein Middle Eastern Salad,Mediterranean,Appetizer,Vegetarian, $15.00 
69,Mujaddara . - Traditional Middle Eastern Rice,Middle Eastern,Dinner,Vegetarian, $180.00 
70,Tomato Corn Au Gratin .,French,Dinner,Vegetarian, $20.00 
71,Arunachal Style Kharzi Rice .,North East India  .,Lunch,Vegetarian, $20.00 
72,Kathirikai Rasavangi . | Delicious Brinjal Currry . | Eggplant in Tangu Coconut Curry,Tamil Nadu,Lunch,Vegetarian, $15.00 
73,Ripe Mango Pachadi . - Ripe Mambazha Curry .,South Indian  .,Side Dish,Vegetarian, $10.00 
74,Indo Japanese Rice Cakes . ,Japanese,Appetizer,Vegetarian, $15.00 
75,Punjabi Black Chickpea Curry . - Kale Chane Ki Sabzi,Punjabi,Dinner,Vegetarian, $10.00 
76,Kottambari Tambuli . - Udupi Style Raw Coriander Kadhi,Udupi,Side Dish,Vegetarian, $10.00 
77,Instant Homemade Granola . With Chia Seeds and Nuts,Continental,World Breakfast,Vegetarian, $10.00 
78,Lebanese Chickpea Falafel . - Healthy Non Fried .,Mediterranean,Main Course,High Protein Vegetarian, $15.00 
79,Homemade Pita Bread . - Quick and Simple .,Mediterranean,Dinner,Vegetarian, $300.00 
80,Zucchini and Carrot Pasta .,Italian,Dinner,Vegetarian, $10.00 
81,Bihari Style Kadhi Badi .,Bihari,Side Dish,High Protein Vegetarian, $30.00 
82,Goan Kaju Curry . (Spicy Goan Cashew Nut Curry),Goan  .,Lunch,Vegetarian, $10.00 
83,Black Bean Noodles .,Asian,Dinner,Vegetarian, $15.00 
84,Asian Chicken Noodle Soup .,Asian,Appetizer,Non Vegetarian, $10.00 
85,Indo Chinese Chicken Hakka Noodles .,Indo Chinese,Dinner,Non Vegeterian, $15.00 
86,Chicken Mie Goreng . - Noodles Tossed In Sriracha Sauce,Indonesian,Lunch,Non Vegeterian, $10.00 
87,Scrambled Tofu Noodles .,Asian,Dinner,High Protein Vegetarian, $10.00 
88,Szechwan Hakka Noodle Momo .,Indo Chinese,Appetizer,Vegetarian, $25.00 
89,Vegetarian Chinese Sizzler With Noodles & Momos .,Chinese,Dinner,Vegetarian, $30.00 
90,Mee Bakso . - Indonesian Meatball Noodle Soup ,Asian,Appetizer,Non Vegeterian, $10.00 
91,Sri Lankan Muttai Appam .,Sri Lankan,South Indian Breakfast,Eggetarian, $200.00 
92,Mixed Vegetables Ajethna . - Mangalorean Style Mixed Vegetables Sabzi,Mangalorean,Side Dish,Vegetarian, $10.00 
93,Mushroom And Bok Choy Stir Fry .,Asian,Side Dish,Vegetarian, $10.00 
94,Capsicum In Coconut And Peanut Gravy .,South Indian  .,Lunch,Vegetarian, $10.00 
95,Dal Tadka . Flavored with Lemon and Coriander,Indian,Lunch,High Protein Vegetarian, $10.00 
96,Baby Corn Stew .,South Indian  .,Dinner,Vegetarian, $10.00 
97,Classic Homemade Hummus . With Lemon And Coriander,Middle Eastern,Side Dish,High Protein Vegetarian, $-   
98,Chettinad Kathirikai Chops . - Brinjal Curry for Biryani,Chettinad,Main Course,Vegetarian, $20.00 
99,Kori Gassi . - Mangalorean Chicken Curry ,Mangalorean,Lunch,Non Vegeterian, $10.00 
100,Roasted Mushroom .,Continental,Appetizer,No Onion No Garlic (Sattvic), $10.00 
101,Lauki Chana Dal . | Dudhi Chana Dal |  High Protein Bottle Gourd Lentil Curry, Indian,Side Dish,Diabetic Friendly, $20.00 
102,Chicken Jalfrezi . - Chicken And Bell Peppers In Tomato Gravy,Indian,One Pot Dish,Non Vegetarian, $20.00 
103,Kori Gassi . - Mangalorean Traditional Chicken Curry With Coconut Milk,Mangalorean,Dinner,Non Vegeterian, $20.00 
104,Paneer And Spinach Puff .,Continental,Appetizer,Vegetarian, $120.00 
105,Chicken Meatballs In A Makhni Gravy .,Indian,Main Course,Non Vegeterian, $15.00 
106,Eggplant In Mustard Poppy Seed Yogurt Gravy .-Begun Doi Sorse Posto bata Jhol, Indian  .,Dinner,Vegetarian, $20.00 
107,Bhey Vangan Saag . - Sindhi Style Lotus Stem Spinach Brinjal Sabzi,Sindhi,Main Course,Vegetarian, $30.00 
108,Zucchini Tater Tots . - A Delicious Party Appetizer,Continental,Appetizer,Vegetarian, $10.00 
109,Palak Tovve . - South Indian Dal Palak With Coconut ,South Indian  .,Side Dish,High Protein Vegetarian, $20.00 
110,Kerala Style Kappa Ulathiyathu . - Tapioca Stir Fry .,Kerala  .,Appetizer,Vegetarian, $10.00 
111,Baked Sweet Potato Boats .,Indian,Side Dish,Vegetarian, $10.00 
112,Crunchy Baked Cheese Crisps .,Continental,Appetizer,Vegetarian, $5.00 
113,Pattani Kootu . (Green Peas Curry),Kerala  .,Side Dish,Vegetarian, $10.00 
114,Mangalorean Padengi Gassi . - Green Moong Dal Curry,Mangalorean,Dinner,High Protein Vegetarian, $10.00 
115,Khandeshi Dal .,Maharashtrian  .,Lunch,High Protein Vegetarian, $10.00 
116,Padipe Saasmi . - Udupi Style Amaranth Leaves Curry With Coconut & Tamarind,Udupi,Side Dish,Vegetarian, $15.00 
117,Creamy Polenta .  - Savory Cornmeal Porridge,Italian,Side Dish,Vegetarian, $-   
118,Dondakkai Puli Curry . - South Indian Style Tindora Curry,Tamil Nadu,Lunch,Vegetarian, $20.00 
119,Kasuri Methi Aur Aloo Rasedar . ,Indian,Side Dish,Vegetarian, $20.00 
120,Poosanikai Haddu Sweet Curry . - Pumpkin Sweet Curry ,Tamil Nadu,Side Dish,Vegetarian, $10.00 
121,Konkani Style Vengaya Sagle . - Eggplant Drumstick Curry ,Konkan,Lunch,Vegetarian, $10.00 
122,Ayam Goreng Kremes . - Indonesian Style Crunchy Fried Chicken,Indonesian,Appetizer,Non Vegetarian, $10.00 
123,Mangalore Cucumber Chana Dal Subzi .,Mangalorean,Lunch,Vegetarian, $10.00 
124,One Pot Spinach Macaroni Pasta .,Italian,Dinner,Vegetarian, $10.00 
125,Dondakkai / Kovakkai Poriyal . - Tindora Poriyal,South Indian  .,Side Dish,No Onion No Garlic (Sattvic), $20.00 
126,Himachal Pahari Style Teliah Mah . (Brown Horse Gram Curry) ,Himachal,Lunch,Vegetarian, $120.00 
